"beta","gamma","rho","psi","pop","S_0","E_0","I_0","R_0","sigma","loglik","loglik.se"
0.973553133548911,0.966594810985357,0.979906538423766,0.566723903062624,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-235.68949546214,0.797811957775159
0.779943210812301,0.676225478948381,0.999911967670623,0.491095380510748,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-235.791932160852,1.92956769596957
0.91891516425385,0.925237739778236,0.968817560270405,0.591858859814333,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-235.921025309941,0.559627624586368
0.964069491256182,0.913915077054104,0.971786893246017,0.520619492162443,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.115808550407,1.00669685199825
0.953929868172586,0.881691184500336,0.931995194580403,0.648500276124454,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.216582694944,0.766718554722177
1.02426111936802,0.985443947523477,0.950798667088798,0.588007103637149,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.299127913976,0.558262741187412
0.950915039949696,0.907969962814891,0.937029663013781,0.605601841628729,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.510217197925,0.290305554973569
0.881929945855833,0.881111368249424,0.993066060522763,0.669102642211018,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.617242306093,0.273371533995968
0.95661761650537,0.980283695974801,0.942399715467683,0.534361266214484,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.682675641753,0.228840934456076
1.06267470551599,0.880642361032966,0.963847827623723,0.580409633750081,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.739942319747,0.903732824323656
0.811090326915431,0.795526359544346,0.974760814311975,0.613033489419323,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-236.97492598177,0.201350058525882
1.01890654671999,0.930129702156334,0.999662982224785,0.491295187525861,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.051727531097,0.380795929814413
0.886500725973634,0.845786283633183,0.984362704708913,0.568132626674868,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.1143339397,0.303459237797033
0.851045731477688,0.747580167813208,0.912280053890196,0.498087800454445,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.166417049899,0.649364118991136
0.987259216155999,0.87852163210173,0.859780235301011,0.622920785427305,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.294413587111,0.686305342413933
0.893729776562593,0.832842480129598,0.929006224081044,0.588142674583855,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.361040150061,0.343748127937658
1.07424875533883,0.934486448101908,0.86858907666742,0.553470498705356,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.386212827232,0.619271203378579
0.929826559567418,0.839429188064164,0.844828062765486,0.59609813325052,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.405073023618,0.62703877276049
0.947309048624745,0.91192704793549,0.884151746741708,0.618610995934987,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.44407931614,0.360355355063263
0.725041351648898,0.814783475039042,0.980693104485891,0.552264859706262,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.462219995697,0.913837550913256
0.870817333784205,0.822027245383593,0.945427536135887,0.58919943740095,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.532187328904,0.559837615468945
0.925613298935053,0.820331469070507,0.965569633124588,0.634632395663288,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.534534603855,0.272773999524061
0.895651602101334,0.877012455781669,0.905384910894326,0.526494630341563,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.56401332205,0.559791855610581
0.851039231120182,0.934650550024049,0.871686084111855,0.525461410033992,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.61933025235,0.576750599223099
0.878333276818519,0.847803108751971,0.918338974124792,0.623628061731841,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.645982150993,0.260782934294647
1.00001090059398,0.88205855255714,0.956758850568635,0.5634408852603,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.661441417887,0.4787613233445
0.812530135911543,0.813192018450527,0.898384221049464,0.565823240659501,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.701414781956,0.35855784758938
0.805314885709336,0.843679945241018,0.935062933543217,0.565793368321115,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.768070564603,0.520363905142476
0.965660163022969,0.844495081338954,0.936168053943634,0.655373023096074,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.769150690151,0.303060176994825
0.926283769333004,0.896608909525896,0.900526595836546,0.644698476540202,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.807044473544,0.608773573097094
1.10237874248865,0.941613800534913,0.939238935499925,0.446231269343619,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.81596831639,1.28975008456015
0.864080879471511,0.814239896680619,0.948282897006826,0.536713712531813,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.903413590501,0.35705076317654
1.05283491937612,0.877828576609189,0.978425943211798,0.521775926887822,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.903899294212,0.352036098790405
0.778477973262088,0.723775073470431,0.936792738875168,0.680937139265689,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-237.986996617007,0.271543168866296
0.928159600308766,0.812150909950621,0.870214394377717,0.606702745334656,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.030087077013,0.5680339656409
1.07547531411308,0.835077398268728,0.976218553502805,0.623716805694914,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.033973722375,0.650710934144923
0.884249535297505,0.809052999710601,0.92299163963385,0.72018818584058,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.089675118391,0.533432885460192
0.810843896860364,0.847480986140924,0.891605335672876,0.680652140905816,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.282209950848,0.379046227027896
0.913693496971329,0.913746792458169,0.840545540984914,0.480904013085477,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.321928780312,0.67716060320232
0.903364467728324,0.820563100011363,0.930021508004274,0.692822902066016,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.340778359327,0.212866548842215
0.869827053072814,0.915027542696238,0.89083503028392,0.517099141218062,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.344868770422,0.403138276207905
1.08811389221885,0.986931739691769,0.80082403068807,0.603207699870909,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.372228764317,0.43885863620203
0.75134856393016,0.706420271682295,0.910056443411221,0.636963331651852,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.478519250985,0.849507089894816
0.662448495685587,0.680507299333336,0.975511628595467,0.622072177197437,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.653564146699,0.379732869531755
0.778498301710663,0.686793530959351,0.992949013004544,0.527395516903613,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.710785041219,0.531217309356227
0.775298459218184,0.830183008183383,0.881431126808883,0.545584202334847,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.734837759055,0.712042370324634
0.795580171111515,0.836280532583856,0.876578701324101,0.688557256672465,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.749343687016,0.415188370452648
0.685239835942734,0.767695419951478,0.961865528928161,0.565684508162929,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.752522889944,0.545264811018785
0.891374447389356,0.822809369031185,0.87418284993898,0.477888547747235,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.810039779709,0.391450055233866
0.730980537205303,0.742137727191046,0.937911711770673,0.606739646502576,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.91325433224,0.210629317947695
0.901442503645792,0.821865598396653,0.770322769816049,0.622169852432414,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.938985655405,0.439322379907207
0.900710421114127,0.90803623292839,0.839607373004083,0.633266399180996,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-238.995016714604,0.268760943965167
0.91139640288285,0.855811681496352,0.8466587320279,0.549389492339087,10600,0.999056603773585,0.000754716981132075,0.000188679245283019,0,0.059,-239.040542544359,0.192173983814237
