"","x"
"beta",1.36838530468411
"gamma",0.820026569670386
"rho",0.77756711463892
"psi",0.285305447606197
"p",0.136720462884908
"q",3.34057942484053
"pop",10600
"S_0",0.999056603773585
"E_0",0.000754716981132075
"I_0",0.000188679245283019
"R_0",0
"sigma",0.059
"intervention",61
"spring0",26
"spring1",34
"summer0",100
