"beta","gamma","rho","psi","p","q","pop","S_0","E_0","I_0","R_0","sigma","intervention","spring0","spring1","summer0","loglik","loglik.se"
1.10394033296746,0.862365354846528,0.911045890133874,0.60661607406352,0.250591165207935,1.6783266392917,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.013577256844,0.195491435915394
1.41332996804278,0.971710526395934,0.927174688812571,0.581354780065562,0.54154111983875,2.13598115936372,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.043955919702,0.108159351568105
1.3049114481602,0.713221103886555,0.922311813479247,0.504676125823556,0.380596265868032,2.76577909143733,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.116099309645,0.218737046861711
1.36747519495141,0.928704939682778,0.856489399266889,0.531394817561482,0.0759732387917316,2.69076567459227,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.220512178298,0.19644972106543
1.5564579820135,0.93144461985307,0.718351641056306,0.624442580466066,0.185896933629111,3.31534398330897,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.227288158498,0.169208790511226
1.31406633886473,0.859047263474411,0.82656818355988,0.529556123207878,0.472962915722138,2.28876670985951,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.635053125563,0.303094979680127
1.08100378138607,0.719940726638616,0.940386786969609,0.660760760394324,0.160310346759536,2.82558857808795,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.643968013175,0.343143499526091
1.19106000213873,0.884018392105391,0.912130668508128,0.497316931154863,0.165299151883825,2.22396015923844,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.661290919034,0.355181620626418
1.16619500405419,0.833580085054868,0.92322976302549,0.694955615037529,0.0378376746380676,1.55782555759473,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.661483552625,0.264458174785875
1.64471070471732,0.754598785853249,0.88628325737283,0.451370278289306,0.0648546740869966,3.2216658019898,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.723706008128,0.274166227865445
1.18274599134761,0.694565094929615,0.791332219085069,0.584678540197407,0.243043769831004,2.84682851055086,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.759658672525,0.15595718638736
1.30622649251866,0.832892690952339,0.834997784654583,0.647836073706225,0.329548504770613,2.08991566848082,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.7707543946,0.123534342397539
0.9396818272169,0.695865974388172,0.992513097576202,0.651463358987138,0.388788864630878,1.82647004929605,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.960233096956,0.243282145506303
1.10586660576114,0.674832674281486,0.823156058584284,0.680725281680767,0.22956832512956,2.69395529124279,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-232.990411952584,0.13009336583868
1.04347925789124,0.645668156341061,0.928746165140264,0.398006528362243,0.350619306077556,2.1851239531809,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.039930642256,0.598889770063773
1.50346210384837,0.831260447842179,0.99759557131619,0.676137690554392,0.182657552965416,1.97154212722493,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.055257363024,0.152658935803986
1.46721275406202,0.944257220444584,0.728627890728265,0.600607385829083,0.31372579487072,3.26269560649653,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.142753000417,0.375413202999085
1.0902950252236,0.886870916312492,0.94342455523665,0.579622026943701,0.642733659028804,1.51246575932829,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.176712738481,0.163135785629496
1.63140588516575,0.821358087052574,0.697752853834297,0.588056583266858,0.0895735033967295,2.77965725740098,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.235042089608,0.121186436266478
1.01632919140244,0.546052274243992,0.890334063988272,0.654531733631099,0.12960525925591,4.01065621481818,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.357511950094,0.132523425358223
1.1236937254594,0.884189428569855,0.999818984076311,0.67792153853359,0.182079591022583,1.34866027143082,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.390518848567,0.200392294069075
0.94891240201515,0.674689433684663,0.925980995482217,0.668495095052205,0.31079524149744,2.22846962719802,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.398510789178,0.280262371950998
1.14659924310728,0.830858565899607,0.908993941207081,0.644815393318272,0.705309379459974,2.41424057544023,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.762785449021,0.247894056406497
1.2090463417145,0.886833492243202,0.762919255760823,0.677300138986467,0.397340483380416,1.68395799320218,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.873066057759,0.121652937432167
1.01975800857787,0.63436079373595,0.980247880613966,0.760845425560822,0.249427602314575,2.5420041425049,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-233.979267525268,0.144065139992055
1.27135038831722,0.904854402309712,0.943901282280645,0.472876047612182,0.802070565165522,1.53481266607407,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.070848503436,0.380122757493654
1.03749887236123,0.704601066099731,0.920109416593497,0.51513819194852,0.776476059016919,2.52032862796939,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.079294789748,0.548210855220094
0.894771428508443,0.627693047970882,0.918406275183493,0.506263312944955,0.739527008888882,1.85762097041788,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.137406466969,0.20982616251643
0.963971142604248,0.690716776395018,0.763743408848567,0.717011249769942,0.0343177263741978,1.71866574450925,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.20887257886,0.145818185795209
1.35330758816037,0.674100768823454,0.937903479711854,0.743609578996386,0.134098047796001,6.71703181723054,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.209885247038,0.132921539224115
1.27769987964087,0.87922323534861,0.902554097257448,0.726822043838177,0.792521589918238,2.35396880805098,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.328802917045,0.129417070303186
1.34451314654484,0.983612475210929,0.884558488770413,0.595082859551722,0.931572075777022,2.86659502010343,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.329164846005,0.233167438165763
1.24038421957767,0.794241340776628,0.870219610911896,0.537489324704245,0.906218446611288,2.56979288721435,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.339215518527,0.208439129181466
0.987303814002503,0.841124073161944,0.900505107029189,0.552370480793827,0.991695495823959,1.57916051807518,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.528362080257,0.266707411531158
1.01153157138623,0.820701908885937,0.852255388857962,0.568475071289099,0.738774039231643,1.77312603358717,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.745645614144,0.212210787893204
0.777044343108206,0.587350909750912,0.960185411298052,0.582436269966293,0.77186484727137,1.64953769938255,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.804909413632,0.143006665937704
0.952393516885306,0.756489003165485,0.847092720703823,0.5934060611522,0.826712658599065,1.52835770152445,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.893430189686,0.152088236934462
1.2009771556992,0.891303335159088,0.984050628712565,0.562412492964378,0.944414700066575,1.35310446536492,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.930375228592,0.645984018551886
1.09054692998865,0.884433679065605,0.8748805450444,0.559422870840146,0.90547171643093,1.87264142081346,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-234.94187642349,0.197305335161044
0.777505650190712,0.449774255281547,0.898938802346067,0.535493861180821,0.399733206452563,2.16586958228195,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-235.02251295961,0.369469154013041
1.33664791499095,0.976126580170473,0.933093963317201,0.721558911310673,0.894843606462811,1.62096380958021,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-235.106123089771,0.148736910175775
1.06443335973175,0.781362676171058,0.89030368197424,0.696406087888011,0.973144989026783,2.19338124837164,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-235.142776211558,0.140077622436008
0.875017489193608,0.690165578832782,0.765012364895512,0.58404188824997,0.326816037308236,2.15086738341313,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-235.69964374375,0.510681171044804
0.824517715312371,0.546228801426623,0.894650612122077,0.575999621922275,0.984534586944412,2.75864360501181,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-235.870524812016,0.293276508887916
0.980682104741374,0.585714997477346,0.871653386426441,0.645400953706804,0.782152713378754,3.29852344156127,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-235.877721824308,0.289716054169745
0.988831287308914,0.894363698410182,0.928659736188062,0.469208997790524,0.987705868552236,1.10652034761587,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-236.389327134982,0.541317940562665
1.10434273046864,0.803527388894575,0.68010282777953,0.644119936950863,0.999420712608835,2.15095220571194,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-237.131225801242,0.302756270791371
1.3049998946754,0.793791064764572,0.662657296567953,0.14880689363218,0.505931516484506,1.94854029587258,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-240.280716687872,1.13996121724827
1.5740271002909,0.911850060621103,0.632992096209197,0.105147391350498,0.234447742762711,2.16825635409652,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-241.244143081217,0.339996328482626
1.15159849711999,0.787094597591772,0.744701567287964,0.0347017130104312,0.115121815860299,1.20813926545032,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-242.801191818343,5.24912205680561
0.817990923634435,0.701625103928307,0.8043120403473,0.192918696506426,0.786538128906522,0.991362264412956,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-246.682284182991,1.24666304803635
1.01671166590127,0.558578939237083,0.769627447010166,0.0879943541857967,0.0970956463821595,3.75190010895989,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-247.362283252135,0.328302457470644
0.618530463959076,0.483517168389638,0.747830849682573,0.010903821265449,0.928890048024509,2.52376889204356,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-254.764420774289,9.80521688023497
8.52294706078096,0.000278294774189368,0.512743892958344,1.43325463617234,0.140005278673557,1.21627917369576,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-291.125721936301,2.25915482624582
5.20398047057859,0.000727982506273834,0.279157868320968,1.8159818188551,0.988212716531078,0.794151541235188,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-303.059364622952,0.712851338184318
0.745787496674842,0.0270012224976609,0.384111279016617,1.88338080687141,0.0876343824035682,0.0213948501042615,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-306.810191376227,0.489843346044623
5.29575863284323,0.000365526401728278,0.419326085996602,1.14254658099664,0.794152378163293,1.09452782597127,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-309.090480272154,1.04515133674879
3.82608228429491,0.883136278287982,0.0468935024364978,0.993094582258822,0.784421350564223,27.8399190709015,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-312.065522845785,4.03821483126441
0.785690363194765,0.00117407154670457,0.491405809817792,0.073125656464585,0.211742321009061,0.339591679477739,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-429.967112688112,13.4890254974002
0.00804167832732962,0.659102606720176,0.786412535566504,0.135568418187717,0.769832728638287,0.399612944782992,8480,0.998820754716981,0.000943396226415094,0.000235849056603774,0,0.059,61,26,34,100,-2908.21050379545,1.51988825876675
