"name","x0","x1"
"beta","0.677827189624079","1.18237005512075"
"gamma","0.990713581945595","0.999906931665232"
"rho","0.837021406317514","0.972290376366777"
"psi","0.569905929824597","0.895923309352913"
"p","1e-05","0.75359353416563"
