"","x"
"beta",0.952090826608645
"gamma",0.872421101248232
"rho",0.909536916195961
"psi",0.674388289196703
"pop",10600
"S_0",0.999056603773585
"E_0",0.000754716981132075
"I_0",0.000188679245283019
"R_0",0
"sigma",0.059
